iteration,model,n,BA,AUC
2126,all_9windows,275,0.512962962962963,0.4967195767195767
2126,early_lateral,275,0.5301587301587302,0.5147089947089948
2126,lateral_3windows,275,0.5121693121693122,0.5102116402116402
2127,all_9windows,275,0.5125661375661376,0.5316931216931217
2127,early_lateral,275,0.5097883597883598,0.5541798941798942
2127,lateral_3windows,275,0.5313492063492063,0.5639153439153439
2128,all_9windows,275,0.5358465608465608,0.5319047619047619
2128,early_lateral,275,0.441005291005291,0.4247089947089947
2128,lateral_3windows,275,0.46997354497354493,0.43735449735449733
2129,all_9windows,275,0.4828042328042328,0.46883597883597883
2129,early_lateral,275,0.5097883597883598,0.5284126984126984
2129,lateral_3windows,275,0.49497354497354495,0.5092063492063492
2130,all_9windows,275,0.5275132275132275,0.545079365079365
2130,early_lateral,275,0.5810846560846561,0.5673544973544974
2130,lateral_3windows,275,0.5812169312169313,0.5654497354497354
2131,all_9windows,275,0.5304232804232805,0.5584656084656086
2131,early_lateral,275,0.5316137566137566,0.5472486772486772
2131,lateral_3windows,275,0.5568783068783069,0.5637037037037037
2132,all_9windows,275,0.5365079365079365,0.5157671957671958
2132,early_lateral,275,0.5228835978835978,0.5166666666666666
2132,lateral_3windows,275,0.5232804232804232,0.49174603174603176
2133,all_9windows,275,0.5164021164021164,0.5126984126984127
2133,early_lateral,275,0.5316137566137566,0.5405291005291005
2133,lateral_3windows,275,0.5458994708994709,0.556984126984127
2134,all_9windows,275,0.5333333333333333,0.5261375661375661
2134,early_lateral,275,0.5374338624338625,0.5280952380952382
2134,lateral_3windows,275,0.5376984126984127,0.5391005291005291
2135,all_9windows,275,0.5424603174603174,0.5274074074074074
2135,early_lateral,275,0.4810846560846561,0.46925925925925926
2135,lateral_3windows,275,0.4591269841269841,0.4174074074074074
2136,all_9windows,275,0.5324074074074074,0.5334920634920635
2136,early_lateral,275,0.5156084656084656,0.5260317460317461
2136,lateral_3windows,275,0.5265873015873016,0.5253439153439153
2137,all_9windows,275,0.5755291005291006,0.5723809523809523
2137,early_lateral,275,0.45859788359788356,0.43105820105820114
2137,lateral_3windows,275,0.5169312169312169,0.4966137566137566
2138,all_9windows,275,0.5116402116402117,0.5344973544973546
2138,early_lateral,275,0.5170634920634921,0.5347619047619048
