dataset,origin,held_block,family,seed,level,method,n,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,0,direction_step,20260928,1.0,V7,14,21.399370078614403,0.21437328667965552,44.499758452531054,2.2600750468362505,25.390625,2,0.4599075914087369
A1,semisynthetic,0,direction_step,20260928,1.0,shrink,14,19.35777684778681,0.19392114022171705,46.43099407687319,2.120596864720574,25.390625,2,0.4477314954654011
A1,semisynthetic,0,direction_step,20260928,1.0,gated,14,19.35777684778681,0.19392114022171705,46.43099407687319,2.120596864720574,25.390625,2,0.4477314954654011
A1,semisynthetic,0,direction_step,20260928,2.0,uncorrected,14,38.71555369557362,0.3878422804434341,92.86198815374637,9.083011245229493,25.390625,2,0.9439670511227404
A1,semisynthetic,0,direction_step,20260928,2.0,V7,14,37.984682928864956,0.38052060845861274,87.74928671082891,8.913567190508111,25.390625,2,0.9093390807358023
A1,semisynthetic,0,direction_step,20260928,2.0,shrink,14,38.71555369557362,0.3878422804434341,92.86198815374637,9.083011245229493,25.390625,2,0.9439670511227404
A1,semisynthetic,0,direction_step,20260928,2.0,gated,14,38.71555369557362,0.3878422804434341,92.86198815374637,9.083011245229493,25.390625,2,0.9439670511227404
A1,semisynthetic,0,direction_step,20260929,0.0,uncorrected,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,direction_step,20260929,0.0,V7,14,11.361786915708882,0.11381940658657588,3.5948412887312795,0.07273530124080112,0.0,2,0.13255413920675732
A1,semisynthetic,0,direction_step,20260929,0.0,shrink,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,direction_step,20260929,0.0,gated,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,direction_step,20260929,0.5,uncorrected,14,8.827560248105652,0.08843218733995628,21.952055705564415,0.6817733310816304,25.390625,2,0.20521698736266267
A1,semisynthetic,0,direction_step,20260929,0.5,V7,14,14.090529356473859,0.14115523392074805,21.620623453913193,0.6712407717461722,25.390625,2,0.2561744207608167
A1,semisynthetic,0,direction_step,20260929,0.5,shrink,14,8.827560248105652,0.08843218733995628,21.952055705564415,0.6817733310816304,25.390625,2,0.20521698736266267
A1,semisynthetic,0,direction_step,20260929,0.5,gated,14,8.827560248105652,0.08843218733995628,21.952055705564415,0.6817733310816304,25.390625,2,0.20521698736266267
A1,semisynthetic,0,direction_step,20260929,1.0,uncorrected,14,17.655120496211303,0.17686437467991256,43.904111411128824,1.3443885490632637,25.390625,2,0.41024205376425316
A1,semisynthetic,0,direction_step,20260929,1.0,V7,14,20.341604793976057,0.20377687100150552,42.54456692998769,1.3051006103649667,25.390625,2,0.42995119347375704
A1,semisynthetic,0,direction_step,20260929,1.0,shrink,14,17.655120496211303,0.17686437467991256,43.904111411128824,1.3443885490632637,25.390625,2,0.41024205376425316
A1,semisynthetic,0,direction_step,20260929,1.0,gated,14,17.655120496211303,0.17686437467991256,43.904111411128824,1.3443885490632637,25.390625,2,0.41024205376425316
A1,semisynthetic,0,direction_step,20260929,2.0,uncorrected,14,35.31024099242261,0.3537287493598251,87.80822282225763,4.825616979441953,25.390625,2,0.8418904099936213
A1,semisynthetic,0,direction_step,20260929,2.0,V7,14,35.35740630323553,0.35420123909476076,83.36542045528518,4.982017346104159,25.390625,2,0.8216762622026639
A1,semisynthetic,0,direction_step,20260929,2.0,shrink,14,35.31024099242261,0.3537287493598251,87.80822282225763,4.825616979441953,25.390625,2,0.8418904099936213
A1,semisynthetic,0,direction_step,20260929,2.0,gated,14,35.31024099242261,0.3537287493598251,87.80822282225763,4.825616979441953,25.390625,2,0.8418904099936213
A1,semisynthetic,1,asymmetric_burst,20260927,0.0,uncorrected,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260927,0.0,V7,12,6.177472142359287,0.11443835546667185,1.1894816912400343,0.3554725847051882,12.5,5,0.13204116448026806
A1,semisynthetic,1,asymmetric_burst,20260927,0.0,shrink,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260927,0.0,gated,12,0.0,0.0,0.0,0.0,0.0,5,0.0
A1,semisynthetic,1,asymmetric_burst,20260927,0.5,uncorrected,12,8.592131483304236,0.15917018713211462,8.49184505229181,2.7681234163885127,42.96875,5,0.2891061648805735
A1,semisynthetic,1,asymmetric_burst,20260927,0.5,V7,12,9.830148949337124,0.1821045977756422,8.659239094179172,2.6748630850293558,56.25,5,0.3118634141397122
A1,semisynthetic,1,asymmetric_burst,20260927,0.5,shrink,12,8.592131483304236,0.15917018713211462,8.49184505229181,2.7681234163885127,42.96875,5,0.2891061648805735
A1,semisynthetic,1,asymmetric_burst,20260927,0.5,gated,12,8.592131483304236,0.15917018713211462,8.49184505229181,2.7681234163885127,42.96875,5,0.2891061648805735
A1,semisynthetic,1,asymmetric_burst,20260927,1.0,uncorrected,12,17.184262966608472,0.31834037426422923,16.983690104583616,6.076081522621485,45.3125,5,0.5882128271662339
A1,semisynthetic,1,asymmetric_burst,20260927,1.0,V7,12,16.64661375204705,0.3083803630307575,16.430705498430132,5.661266917225501,54.6875,5,0.5654462789051176
A1,semisynthetic,1,asymmetric_burst,20260927,1.0,shrink,12,17.184262966608472,0.31834037426422923,16.983690104583616,6.076081522621485,45.3125,5,0.5882128271662339
A1,semisynthetic,1,asymmetric_burst,20260927,1.0,gated,12,17.184262966608472,0.31834037426422923,16.983690104583616,6.076081522621485,45.3125,5,0.5882128271662339
