dataset,fold,seed,level,stage,n,candidate,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,4,2053,2.0,V3,18,保守双分量,93.97108576295287,0.9211584682194457,32.603937380913884,12.008201582803588,95.05208333333333,3,1.1986709910579272
VisualCogA_Task-1,4,2053,2.0,V4,18,保守双分量,65.16865539704705,0.6388205296775579,40.797643233026086,9.214935893085318,125.0,3,0.929111562118924
VisualCogA_Task-1,5,2027,0.0,预处理,18,中位数基线,4.996836968632062e-15,3.728729837522732e-17,8.6069801417839e-15,0.0,0.0,4,6.940071719107182e-17
VisualCogA_Task-1,5,2027,0.0,V3,18,中位数基线,129.73599103027578,0.9681133560929499,91.39834732347194,19.760035113208513,26.3671875,4,1.4565817740781475
VisualCogA_Task-1,5,2027,0.0,V4,18,中位数基线,129.91398712232072,0.9694415950239712,91.47458256214946,19.74911235292881,26.3671875,4,1.4581129459506221
VisualCogA_Task-1,5,2027,0.5,预处理,18,中位数基线,17.582545462870677,0.13120412432618095,13.281661363002323,3.7471294141192026,21.484375,4,0.2087209554789471
VisualCogA_Task-1,5,2027,0.5,V3,18,中位数基线,130.3108269617991,0.9724028854552376,99.72789601328878,22.01329658612382,10.7421875,4,1.5087638438663844
VisualCogA_Task-1,5,2027,0.5,V4,18,中位数基线,130.4993511011991,0.973809686573799,99.90107035742798,22.079415659287232,10.7421875,4,1.51131016651937
VisualCogA_Task-1,5,2027,1.0,预处理,18,中位数基线,35.19958298110215,0.26266563458828224,26.9939570085596,7.291808030724876,30.2734375,4,0.41779530787074576
VisualCogA_Task-1,5,2027,1.0,V3,18,中位数基线,132.1330310279542,0.9860005007350248,101.45426384062446,23.429543828842867,38.0859375,4,1.5393709854099942
VisualCogA_Task-1,5,2027,1.0,V4,18,中位数基线,132.38328928190313,0.9878679729468333,101.99734768259786,23.62083395255891,38.0859375,4,1.5446921937866576
VisualCogA_Task-1,5,2027,2.0,预处理,18,中位数基线,70.67409167638057,0.5273828144240612,53.79910543444657,14.379907799798042,47.8515625,4,0.8354175913697581
VisualCogA_Task-1,5,2027,2.0,V3,18,中位数基线,132.4372460189168,0.9882706078466733,105.22897569399302,25.557368559207372,56.640625,4,1.5716030945100339
VisualCogA_Task-1,5,2027,2.0,V4,18,中位数基线,132.64126333315517,0.9897930218292534,105.68941850664275,25.720248478832215,56.640625,4,1.576058901461886
