dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
B2,17,0,-1,40198,203.125,0,47907,33990,40198,True,retained
B2,18,0,1,42378,203.125,0,47907,36170,42378,False,boundary
B2,19,0,1,44603,203.125,0,47907,38395,44603,False,boundary
B2,20,0,-1,46811,203.125,0,47907,40603,46811,False,boundary
B2,21,1,1,49003,207.03125,47907,91728,42795,49003,False,boundary
B2,22,1,1,51140,203.125,47907,91728,44932,51140,False,boundary
B2,23,1,-1,53340,207.03125,47907,91728,47132,53340,False,boundary
B2,24,1,-1,55493,203.125,47907,91728,49285,55493,True,retained
B2,25,1,-1,57693,203.125,47907,91728,51485,57693,True,retained
B2,26,1,1,59878,203.125,47907,91728,53670,59878,True,retained
B2,27,1,-1,62070,203.125,47907,91728,55862,62070,True,retained
B2,28,1,-1,64295,203.125,47907,91728,58087,64295,True,retained
B2,29,1,-1,66447,203.125,47907,91728,60239,66447,True,retained
B2,30,1,1,68632,203.125,47907,91728,62424,68632,True,retained
B2,31,1,1,70844,203.125,47907,91728,64636,70844,True,retained
B2,32,1,1,73045,203.125,47907,91728,66837,73045,True,retained
B2,33,1,1,75189,203.125,47907,91728,68981,75189,True,retained
B2,34,1,1,77369,207.03125,47907,91728,71161,77369,True,retained
B2,35,1,-1,79566,203.125,47907,91728,73358,79566,True,retained
B2,36,1,1,81783,203.125,47907,91728,75575,81783,True,retained
B2,37,1,-1,83959,203.125,47907,91728,77751,83959,True,retained
B2,38,1,-1,86167,207.03125,47907,91728,79959,86167,False,boundary
B2,39,1,1,88412,203.125,47907,91728,82204,88412,False,boundary
B2,40,1,1,90640,203.125,47907,91728,84432,90640,False,boundary
B2,41,2,1,92817,203.125,91728,135404,86609,92817,False,boundary
B2,42,2,-1,94977,203.125,91728,135404,88769,94977,False,boundary
B2,43,2,-1,97142,203.125,91728,135404,90934,97142,False,boundary
B2,44,2,1,99262,203.125,91728,135404,93054,99262,True,retained
B2,45,2,-1,101498,207.03125,91728,135404,95290,101498,True,retained
B2,46,2,-1,103675,203.125,91728,135404,97467,103675,True,retained
B2,47,2,1,105831,207.03125,91728,135404,99623,105831,True,retained
B2,48,2,-1,108040,203.125,91728,135404,101832,108040,True,retained
B2,49,2,1,110293,203.125,91728,135404,104085,110293,True,retained
B2,50,2,-1,112485,203.125,91728,135404,106277,112485,False,quality
B2,51,2,-1,114689,207.03125,91728,135404,108481,114689,True,retained
B2,52,2,-1,116898,203.125,91728,135404,110690,116898,True,retained
B2,53,2,1,119098,207.03125,91728,135404,112890,119098,True,retained
B2,54,2,1,121247,203.125,91728,135404,115039,121247,False,quality
B2,55,2,1,123479,203.125,91728,135404,117271,123479,True,retained
B2,56,2,-1,125612,203.125,91728,135404,119404,125612,True,retained
B2,57,2,-1,127768,207.03125,91728,135404,121560,127768,False,quality
B2,58,2,-1,129941,203.125,91728,135404,123733,129941,False,boundary
B2,59,2,-1,132129,203.125,91728,135404,125921,132129,False,boundary
