dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,11,0,1,spatial,-0.978002325510066,-161.33885593827452,-124.82936669699309,11.234474387856224,,,351.5625,,,0.0,1.0,1.0,0.12758051507282195,36.50948924128143,,,,,,,,,,
A1,12,0,1,spatial,7.670869755710017,8.539553617794867,41.45761475517082,25.723575893883538,23.762664707421784,55.554626122188075,367.1875,359.375,367.1875,0.0,0.0,0.0,0.6583985095278977,32.91806113737596,,,,,,,,,,
A1,13,0,-1,spatial,6.189478072777342,25.725687023640074,34.32191943159619,20.051709245505013,36.74835705592552,46.47643714440657,394.53125,394.53125,394.53125,0.0,0.0,0.0,0.14315695354758826,8.59623240795612,,,,,,,,,,
A1,15,0,1,spatial,0.00987587555554828,-45.665562706489965,-66.1989583784086,16.150224002028647,,,312.5,,,0.0,1.0,1.0,-0.18355592526369469,-20.53339567191864,,,,,,,,,,
A1,16,0,-1,spatial,12.045728132569755,-35.15923365215667,-80.09690975501094,20.675406205268416,,,382.8125,,,0.0,1.0,1.0,-0.38989397679308135,-44.93767610285427,,,,,,,,,,
A1,17,0,1,spatial,2.2865512759440505,31.622503023759084,34.43048857372131,20.651209444893937,44.56225519129504,42.58146177884831,308.59375,308.59375,316.40625,0.0,0.0,0.0,0.042511103313439325,2.807985549962229,,,,,,,,,,
A1,24,1,-1,spatial,20.458614621258622,26.47826227324137,31.47609448063314,4.671761986837705,,19.990345311395323,425.78125,,429.6875,0.0,1.0,0.0,0.08623738554492097,4.99783220739177,,,,,,,,,,
A1,25,1,-1,spatial,-2.1354083860327457,-86.03081286568904,-273.41736453781203,4.935574374309702,,,332.03125,,,0.0,1.0,1.0,-0.5213172953768268,-187.386551672123,,,,,,,,,,
A1,26,1,1,spatial,12.935604549064774,-2.1513130649278236,8.512933590464023,,27.947452760272675,,,312.5,,1.0,0.0,1.0,0.7282156616916753,10.664246655391846,,,,,,,,,,
A1,28,1,-1,spatial,19.331780753316696,52.207002088125726,49.52861483231717,58.96844239982359,97.78770638532771,83.66897102384678,296.875,296.875,300.78125,0.0,0.0,0.0,-0.026326937771489152,-2.678387255808559,,,,,,,,,,
