dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials,setting
A2,V1_M2,maintenance,103242.22563034542,103906.94634634843,106218.9977643507,1.2130022059765677,321.31328268583206,1.1013637936561052,0.006397269281567808,0.028024856161882772,68,stimulus
A2,V1_M2,retrieval,119026.8680663484,119659.49333398242,117714.05526161636,1.3961812988993088,345.0027073319112,1.1816011589784892,0.005286879043255643,-0.011152557796215046,68,stimulus
B1,N0,encoding,26625.013726616653,26634.761749932135,26642.810688924143,0.3869859277429444,163.17173078268385,0.6220819300887499,0.00036598875585991397,0.0006679836641593218,64,stimulus
B1,N0,maintenance,91490.72715490886,91434.57311776378,94087.89362133945,1.3236350609251106,302.4743413165964,1.1504933989054915,-0.000614144466697164,0.027603620045773214,64,stimulus
B1,N0,retrieval,103076.94122699724,102974.56045988796,103381.47550049225,1.5049370898647068,321.05597833866483,1.2267587741136017,-0.000994233591792515,0.002945733479046364,64,stimulus
B1,N1,encoding,26443.56363624487,26634.761749932135,26642.810688924143,0.38476893451024957,162.6147706582796,0.6202974564757214,0.007178517888854485,0.007478454694800685,64,stimulus
B1,N1,maintenance,91730.74021079892,91434.57311776378,94087.89362133945,1.3265419129454703,302.8708309012258,1.151756012767231,-0.0032391149533086416,0.025052674895954086,64,stimulus
B1,N1,retrieval,103167.70020167412,102974.56045988796,103381.47550049225,1.5060748337951646,321.1972917097436,1.2272224060027443,-0.0018756063723273098,0.0020678298291177954,64,stimulus
B1,N2,encoding,26439.3533952314,26634.761749932135,26642.810688924143,0.38480118232890365,162.60182469834524,0.6203234497654458,0.007336591051025021,0.0076364801022035245,64,stimulus
B1,N2,maintenance,91742.94667304975,91434.57311776378,94087.89362133945,1.3268108986584333,302.89098149837633,1.1518727788512206,-0.0033726143708112666,0.024922940221480894,64,stimulus
B1,N2,retrieval,103249.61904606041,102974.56045988796,103381.47550049225,1.5070993132388788,321.32478747532133,1.2276397326735882,-0.0026711314420186927,0.001275435988831508,64,stimulus
B1,N3,encoding,26935.967926261223,26634.761749932135,26642.810688924143,0.392007947358225,164.12180819824408,0.6261053803939277,-0.011308761803730194,-0.011003239889361582,64,stimulus
B1,N3,maintenance,91949.09870203993,91434.57311776378,94087.89362133945,1.3306477557332312,303.23109784789546,1.153537063008047,-0.005627254185498032,0.022731882253706148,64,stimulus
B1,N3,retrieval,103576.77560827685,102974.56045988796,103381.47550049225,1.512433289859002,321.8334594293714,1.2298102657967211,-0.005848193434372373,-0.0018891209168674372,64,stimulus
B1,N2_no_projection,encoding,26441.59393068134,26634.761749932135,26642.810688924143,0.38474704009500454,162.6087141904804,0.6202798079052747,0.007252470326725824,0.007552384791235656,64,stimulus
B1,N2_no_projection,maintenance,91734.7318001474,91434.57311776378,94087.89362133945,1.3265880601321705,302.877420419792,1.1517760459968642,-0.0032827700961324258,0.025010250847600446,64,stimulus
B1,N2_no_projection,retrieval,103120.11478611866,102974.56045988796,103381.47550049225,1.5054895214635122,321.12320810884825,1.2269839124713544,-0.0014134979123061608,0.0025281194054184164,64,stimulus
B1,N2_no_retrieval,encoding,26442.588177741793,26634.761749932135,26642.810688924143,0.384838212775189,162.61177133818384,0.620353296739196,0.0072151414003480685,0.0075150671421310156,64,stimulus
B1,N2_no_retrieval,maintenance,91784.45277974031,91434.57311776378,94087.89362133945,1.3273359958964455,302.959490327899,1.1521006882631593,-0.003826557614327264,0.024481798379602626,64,stimulus
B1,N2_no_retrieval,retrieval,103244.7291697379,102974.56045988796,103381.47550049225,1.5070464582898158,321.31717845415284,1.2276182054245595,-0.00262364518618341,0.0013227353362130767,64,stimulus
B1,N2_fixed_target,encoding,26439.92234701326,26634.761749932135,26642.810688924143,0.38480342124062195,162.60357421352478,0.6203252543953228,0.0073152298018723805,0.007615125306401183,64,stimulus
