dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,retained,reason,prefix_end_sample,prefix_end_s,prefix_last_included_after_target_s,saturation_fraction,PTP,max_jump
A2,70,3,-1,158051,158103,0.203125,158618,platform_onset_hypothesis,158959,-1.0,158959,-1,158959,explicit_click,2.21484375,3.546875,1.33203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,158772,2.81640625,0.59765625,0.0,940.8413794397104,16.287119186862355
A2,71,3,1,160243,160295,0.203125,160811,platform_onset_hypothesis,161126,-1.0,161126,-1,161126,explicit_click,2.21875,3.44921875,1.23046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,160965,2.8203125,0.59765625,0.0,292.4657947460678,9.697562377952508
A2,72,3,1,162412,162464,0.203125,162979,platform_onset_hypothesis,163276,-1.0,163276,-1,163276,explicit_click,2.21484375,3.375,1.16015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,163133,2.81640625,0.59765625,0.0,967.2998574285773,15.600597424266596
A2,73,3,1,164560,164612,0.203125,165127,platform_onset_hypothesis,165503,1.0,165503,1,165503,explicit_click,2.21484375,3.68359375,1.46875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,165281,2.81640625,0.59765625,0.0,222.17080379252977,12.799143024372782
A2,74,3,1,166789,166841,0.203125,167356,platform_onset_hypothesis,167721,-1.0,167721,-1,167721,explicit_click,2.21484375,3.640625,1.42578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,167510,2.81640625,0.59765625,0.0,315.256939794579,12.979436642072073
A2,75,3,-1,169005,169057,0.203125,169572,platform_onset_hypothesis,169899,1.0,169899,1,169899,explicit_click,2.21484375,3.4921875,1.27734375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,169726,2.81640625,0.59765625,0.0,638.9852370808312,12.160159981632717
A2,76,3,-1,171185,171238,0.20703125,171753,platform_onset_hypothesis,172158,-1.0,172158,-1,172158,explicit_click,2.21875,3.80078125,1.58203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,171907,2.8203125,0.59765625,0.0,409.6693129408237,12.062858942784828
A2,77,3,-1,173442,173494,0.203125,174009,platform_onset_hypothesis,174333,1.0,174333,1,174333,explicit_click,2.21484375,3.48046875,1.265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,174163,2.81640625,0.59765625,0.0,351.6355324712918,9.899501900265022
A2,78,3,1,175618,175670,0.203125,176186,platform_onset_hypothesis,176596,1.0,176596,1,176596,explicit_click,2.21875,3.8203125,1.6015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,176340,2.8203125,0.59765625,,,
A2,79,3,-1,177883,177935,0.203125,178450,platform_onset_hypothesis,178761,1.0,178761,1,178761,explicit_click,2.21484375,3.4296875,1.21484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,178604,2.81640625,0.59765625,,,
