dataset,fold,cue,channel,version,MAE,positive_mean_error
A1,4,-1,Fz,new,2.5811593346604194,1.8557468273183142
A1,4,-1,F3,new,11.643848400394523,2.0518472564174877
A1,4,-1,F4,new,55.49526354819452,52.800919452778146
A1,4,1,Fz,new,7.631964159746264,6.0689959356772
A1,4,1,F3,new,7.280276082923516,1.0197245046263972
A1,4,1,F4,new,8.73234489869497,7.51501302333668
A1,5,-1,Fz,before,4.366469488256429,3.830444576419473
A1,5,-1,F3,before,59.86147706316317,1.448756272512792
A1,5,-1,F4,before,61.5953300779184,7.265288982793288
A1,5,1,Fz,before,10.453522695409104,5.294931489376759
A1,5,1,F3,before,84.26181058246527,80.12456930851894
A1,5,1,F4,before,59.40063984601759,55.694877709817945
A1,5,-1,Fz,old,4.240953406065744,3.6755138828893914
A1,5,-1,F3,old,51.45276800014879,1.448756272512792
A1,5,-1,F4,old,54.58423616130971,7.265288982793288
A1,5,1,Fz,old,10.232192759935586,5.24609706883241
A1,5,1,F3,old,73.80723214208547,69.66999086813915
A1,5,1,F4,old,52.326168286528855,48.6204061503292
A1,5,-1,Fz,new,4.12982609415789,3.5510144729243427
A1,5,-1,F3,new,51.707333078781055,1.448756272512792
A1,5,-1,F4,new,54.913757477815494,7.265288982793288
A1,5,1,Fz,new,10.379958878364688,5.281678206551339
A1,5,1,F3,new,74.02096037929863,69.88371910535227
A1,5,1,F4,new,52.870275787268376,49.164513651068724
A2,1,-1,Fz,before,25.055798780326,24.980042464552668
A2,1,-1,F3,before,71.49902578523164,70.00019519281143
A2,1,-1,F4,before,40.152397092072164,40.15239709207217
A2,1,1,Fz,before,19.890555495254237,19.890555495254233
A2,1,1,F3,before,14.371865847636766,1.793578552802753
A2,1,1,F4,before,16.358947861272608,16.213675493217973
A2,1,-1,Fz,old,21.729524491252608,21.65376817547927
A2,1,-1,F3,old,66.21948572904591,64.72065513662568
A2,1,-1,F4,old,35.02460932118501,35.02460932118502
A2,1,1,Fz,old,19.711064164415625,19.711064164415617
A2,1,1,F3,old,14.711605422542082,1.885758438078625
A2,1,1,F4,old,16.535187014499737,16.288273191756648
A2,1,-1,Fz,new,21.816637919695026,21.7408816039217
A2,1,-1,F3,new,66.46542093093859,64.9665903385184
A2,1,-1,F4,new,35.119459388599516,35.11945938859951
A2,1,1,Fz,new,19.856835433606385,19.856835433606378
A2,1,1,F3,new,14.540051810439296,1.9404350333291127
A2,1,1,F4,new,16.43696698071173,16.256794967470025
A2,2,-1,Fz,before,60.49253996436115,53.80089072667124
A2,2,-1,F3,before,103.24798282623024,96.13569691163727
A2,2,-1,F4,before,106.71746507607222,104.2933005087776
A2,2,1,Fz,before,36.80646323641715,33.56156197073463
A2,2,1,F3,before,112.69781138715138,96.05014639833603
A2,2,1,F4,before,60.96427695580138,58.56504282332594
