dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,25,1,-1,spatial,-2.1354083860230544,-86.03081286574105,-273.4173645378273,4.935574374318759,,,332.03125,,,0.0,1.0,1.0,-0.5213172953766271,-187.38655167208628,,,,,,,,,,
A1,26,1,1,spatial,12.93560454909088,-2.151313064900741,8.512933590589475,,27.947452760293636,,,312.5,,1.0,0.0,1.0,0.7282156617062054,10.664246655490215,,,,,,,,,,
A1,28,1,-1,spatial,19.331780753292453,52.2070020881338,49.52861483229315,58.96844239980045,97.7877063853218,83.66897102381537,296.875,296.875,300.78125,0.0,0.0,0.0,-0.026326937771808688,-2.678387255840647,,,,,,,,,,
A1,29,1,-1,spatial,25.14658683349892,64.5087418010223,95.63255258514339,38.41108808154617,75.91714770570573,98.87181748476178,328.125,332.03125,335.9375,0.0,0.0,0.0,0.1943521869447923,31.12381078412109,,,,,,,,,,
A1,30,1,-1,spatial,11.973976357261895,-11.930418955880329,15.088345142864942,25.551685973127466,0.34409004087288153,28.81643509562275,308.59375,265.625,308.59375,0.0,0.0,0.0,1.0,27.018764098745272,,,,,,,,,,
A1,31,1,-1,spatial,2.928910459227567,-23.756825576463847,-89.7888492492547,11.890944194178445,,,320.3125,,,0.0,1.0,1.0,-0.5815459177475805,-66.03202367279084,,,,,,,,,,
A1,32,1,1,spatial,11.91785248283689,-15.746911820830631,2.997313257599618,32.86914767218201,,22.105836341188468,359.375,,363.28125,0.0,1.0,0.0,1.0,18.744225078430247,,,,,,,,,,
A1,33,1,1,spatial,1.1358544560674313,2.5464446970277232,7.865728501684737,20.324277787340186,17.123038876857876,25.888750933891902,359.375,359.375,359.375,0.0,0.0,0.0,0.363231074894277,5.3192838046570134,,,,,,,,,,
A1,34,1,-1,spatial,-15.292655240161517,-39.58158337052391,-25.39570733701751,21.102267131308132,,4.809045982356324,386.71875,,382.8125,0.0,1.0,0.0,0.21832052212450825,14.1858760335064,,,,,,,,,,
A1,35,1,1,spatial,11.32639475061539,-10.598956705437384,-11.710208925492733,25.516787700234435,3.067074563874769,0.9779137732072911,421.875,300.78125,304.6875,0.0,0.0,0.0,-0.04981146486781532,-1.1112522200553485,,,,,,,,,,
A1,37,1,-1,spatial,-2.972269095243733,-11.296984456678176,3.2055696670403737,9.536833726507313,2.162904921642763,21.34167895925819,359.375,410.15625,355.46875,0.0,0.0,0.0,0.9903172149714586,14.50255412371855,,,,,,,,,,
A1,44,2,1,spatial,5.720472406404621,18.434049829996944,39.39700851089437,21.148655580921115,30.911171958799386,57.23005017488552,335.9375,292.96875,343.75,0.0,0.0,0.0,0.36248616716175314,20.96295868089743,,,,,,,,,,
A1,45,2,-1,spatial,5.340472254313682,-148.80388054800133,-47.83554867930666,15.990396234637625,,,265.625,,,0.0,1.0,1.0,0.5134694108167847,100.96833186869466,,,,,,,,,,
A1,47,2,-1,spatial,8.734771274170217,-10.909844847193297,-9.070803886192477,19.353941569728782,0.18430190973222693,3.941135400099512,289.0625,292.96875,292.96875,0.0,0.0,0.0,0.09204110364684785,1.8390409610008192,,,,,,,,,,
