dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,34,1,N3,retrieval,390,1634.80145784086,0.05,frozen_V2_new_scoring_window
A1,35,1,N3,encoding,205,240.20870072701013,0.05,frozen_V2_new_scoring_window
A1,35,1,N3,maintenance,362,277.0651260181224,0.05,frozen_V2_new_scoring_window
A1,35,1,N3,retrieval,256,1555.5087167933661,0.05,frozen_V2_new_scoring_window
A1,37,1,N3,encoding,205,804.3393214362374,0.05,frozen_V2_new_scoring_window
A1,37,1,N3,maintenance,363,3365.1944969756923,0.05,frozen_V2_new_scoring_window
A1,37,1,N3,retrieval,279,5584.620764215789,0.05,frozen_V2_new_scoring_window
A1,44,2,N3,encoding,205,446.0830542064165,0.05,frozen_V2_new_scoring_window
A1,44,2,N3,maintenance,362,2462.5353425929884,0.05,frozen_V2_new_scoring_window
A1,44,2,N3,retrieval,255,444.8025538518097,0.05,frozen_V2_new_scoring_window
A1,45,2,N3,encoding,205,10647.973826155458,0.05,frozen_V2_new_scoring_window
A1,45,2,N3,maintenance,363,17822.351711593426,0.05,frozen_V2_new_scoring_window
A1,45,2,N3,retrieval,236,12928.796241861095,0.05,frozen_V2_new_scoring_window
A1,47,2,N3,encoding,205,240.0885661533392,0.05,frozen_V2_new_scoring_window
A1,47,2,N3,maintenance,362,971.3483945688616,0.05,frozen_V2_new_scoring_window
A1,47,2,N3,retrieval,326,4561.792812598402,0.05,frozen_V2_new_scoring_window
A1,48,2,N3,encoding,205,377.24357334316255,0.05,frozen_V2_new_scoring_window
A1,48,2,N3,maintenance,362,4141.985724076267,0.05,frozen_V2_new_scoring_window
A1,48,2,N3,retrieval,311,4483.430702278542,0.05,frozen_V2_new_scoring_window
A1,49,2,N3,encoding,205,3047.9915751480166,0.05,frozen_V2_new_scoring_window
A1,49,2,N3,maintenance,363,1457.6891075103156,0.05,frozen_V2_new_scoring_window
A1,49,2,N3,retrieval,268,40235.02887103895,0.05,frozen_V2_new_scoring_window
A1,50,2,N3,encoding,205,2428.0217527115556,0.05,frozen_V2_new_scoring_window
A1,50,2,N3,maintenance,362,21434.72149888605,0.05,frozen_V2_new_scoring_window
A1,50,2,N3,retrieval,248,3096.1026727338417,0.05,frozen_V2_new_scoring_window
A1,51,2,N3,encoding,205,33389.87722744454,0.05,frozen_V2_new_scoring_window
A1,51,2,N3,maintenance,362,371603.059445175,0.05,frozen_V2_new_scoring_window
A1,51,2,N3,retrieval,286,127248.04911460854,0.05,frozen_V2_new_scoring_window
A1,52,2,N3,encoding,205,26675.96167157029,0.05,frozen_V2_new_scoring_window
A1,52,2,N3,maintenance,363,617305.7647154887,0.05,frozen_V2_new_scoring_window
A1,52,2,N3,retrieval,302,787369.8809737925,0.05,frozen_V2_new_scoring_window
A1,53,2,N3,encoding,205,47682.08833636361,0.05,frozen_V2_new_scoring_window
