dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,64,3,stimulus,1.5,N0,retrieval,2,222,269735.9979372455
A1,65,3,stimulus,1.5,N0,encoding,0,205,539.7536431695523
A1,65,3,stimulus,1.5,N0,encoding,1,205,329.41459125664755
A1,65,3,stimulus,1.5,N0,encoding,2,205,75.78980027917095
A1,65,3,stimulus,1.5,N0,maintenance,0,363,1083.5667198024107
A1,65,3,stimulus,1.5,N0,maintenance,1,363,7914.504011688998
A1,65,3,stimulus,1.5,N0,maintenance,2,363,7282.54006917323
A1,65,3,stimulus,1.5,N0,retrieval,0,297,83.7020119901652
A1,65,3,stimulus,1.5,N0,retrieval,1,297,30287.69367878499
A1,65,3,stimulus,1.5,N0,retrieval,2,297,40862.40237038769
A1,66,3,stimulus,1.5,N0,encoding,0,205,678.9924794220899
A1,66,3,stimulus,1.5,N0,encoding,1,205,18563.837040366572
A1,66,3,stimulus,1.5,N0,encoding,2,205,34559.48755611454
A1,66,3,stimulus,1.5,N0,maintenance,0,362,2497.41661100963
A1,66,3,stimulus,1.5,N0,maintenance,1,362,84952.86963770955
A1,66,3,stimulus,1.5,N0,maintenance,2,362,102509.79154554005
A1,66,3,stimulus,1.5,N0,retrieval,0,250,1067.8630084057263
A1,66,3,stimulus,1.5,N0,retrieval,1,250,13993.43476526325
A1,66,3,stimulus,1.5,N0,retrieval,2,250,10881.050144117744
A1,67,3,stimulus,1.5,N0,encoding,0,205,62.13258025003482
A1,67,3,stimulus,1.5,N0,encoding,1,205,3635.382951488324
A1,67,3,stimulus,1.5,N0,encoding,2,205,2553.7142738951643
A1,67,3,stimulus,1.5,N0,maintenance,0,363,1204.2411579009424
A1,67,3,stimulus,1.5,N0,maintenance,1,363,55033.722230681866
A1,67,3,stimulus,1.5,N0,maintenance,2,363,38790.83491426648
A1,67,3,stimulus,1.5,N0,retrieval,0,280,1422.2133177514613
A1,67,3,stimulus,1.5,N0,retrieval,1,280,104256.9083072625
A1,67,3,stimulus,1.5,N0,retrieval,2,280,60939.24451417674
A1,68,3,stimulus,1.5,N0,encoding,0,205,1901.21418318966
A1,68,3,stimulus,1.5,N0,encoding,1,205,853.3415305102151
A1,68,3,stimulus,1.5,N0,encoding,2,205,789.9343238370263
A1,68,3,stimulus,1.5,N0,maintenance,0,362,6066.051131564211
A1,68,3,stimulus,1.5,N0,maintenance,1,362,3523.076512236711
A1,68,3,stimulus,1.5,N0,maintenance,2,362,1392.6089968049132
A1,68,3,stimulus,1.5,N0,retrieval,0,239,926.2938293930122
A1,68,3,stimulus,1.5,N0,retrieval,1,239,405.9575490234049
A1,68,3,stimulus,1.5,N0,retrieval,2,239,1046.6668151916244
A1,69,3,stimulus,1.5,N0,encoding,0,205,580.9008038212469
A1,69,3,stimulus,1.5,N0,encoding,1,205,718.6264790083594
A1,69,3,stimulus,1.5,N0,encoding,2,205,649.6130007658742
A1,69,3,stimulus,1.5,N0,maintenance,0,363,338.36937092463864
A1,69,3,stimulus,1.5,N0,maintenance,1,363,777.3638240666778
A1,69,3,stimulus,1.5,N0,maintenance,2,363,1119.7556603220066
A1,69,3,stimulus,1.5,N0,retrieval,0,273,450.1990956173428
