dataset,branch,fold,model,target,contrast_RMSE,S_delta,delta_energy,weighted_MSE
A1,denoised,2,training_template,branch_output,148.19126109170733,0.27171497873843187,16283117.983109202,34807.99144967297
A1,baseline,3,mechanism,common_baseline,55.039789565174594,-0.8368607974882023,890576.1162421486,2301.222391664519
A1,baseline,3,training_template,common_baseline,105.63701546904441,-5.76635783308317,890576.1162421486,4232.276372473822
A1,baseline,3,mechanism,branch_output,55.039789565174594,-0.8368607974882023,890576.1162421486,2301.222391664519
A1,baseline,3,training_template,branch_output,105.63701546904441,-5.76635783308317,890576.1162421486,4232.276372473822
A1,denoised,3,mechanism,common_baseline,55.039789565174594,-0.8368607974882023,890576.1162421486,2301.222391664519
A1,denoised,3,training_template,common_baseline,105.63701546904441,-5.76635783308317,890576.1162421486,4232.276372473822
A1,denoised,3,mechanism,branch_output,55.039789565174594,-0.8368607974882023,890576.1162421486,2301.222391664519
A1,denoised,3,training_template,branch_output,105.63701546904441,-5.76635783308317,890576.1162421486,4232.276372473822
A1,baseline,4,mechanism,common_baseline,98.8640374765974,0.15144338833249626,6219989.092963563,6813.819616266855
A1,baseline,4,training_template,common_baseline,68.47332563284768,0.5929507308294073,6219989.092963563,5779.183218255662
A1,baseline,4,mechanism,branch_output,98.8640374765974,0.15144338833249626,6219989.092963563,6813.819616266855
A1,baseline,4,training_template,branch_output,68.47332563284768,0.5929507308294073,6219989.092963563,5779.183218255662
A1,denoised,4,mechanism,common_baseline,99.79092543610507,0.13545772005352708,6219989.092963563,6788.443759785641
A1,denoised,4,training_template,common_baseline,72.73818839298836,0.5406654666634758,6219989.092963563,5829.363412963485
A1,denoised,4,mechanism,branch_output,90.36761380027892,0.1471762719201215,5170828.263497139,5560.156168835777
A1,denoised,4,training_template,branch_output,63.514984169908196,0.5787052625602642,5170828.263497139,4715.800422251407
A2,baseline,0,mechanism,common_baseline,39.96821323224958,0.41858310537125343,1483664.0717143994,900.3989958369244
A2,baseline,0,training_template,common_baseline,41.63812157855984,0.36898390350769317,1483664.0717143994,1067.5262263126783
A2,baseline,0,mechanism,branch_output,39.96821323224958,0.41858310537125343,1483664.0717143994,900.3989958369244
A2,baseline,0,training_template,branch_output,41.63812157855984,0.36898390350769317,1483664.0717143994,1067.5262263126783
A2,denoised,0,mechanism,common_baseline,41.206923265193325,0.3819856522968955,1483664.0717143994,675.9665780870719
A2,denoised,0,training_template,common_baseline,42.13614386507289,0.35379880595616386,1483664.0717143994,761.2303741062032
A2,denoised,0,mechanism,branch_output,37.354382475957905,0.39414186364070736,1243672.2319424944,737.4913848025982
A2,denoised,0,training_template,branch_output,38.64083859526765,0.3516927054749378,1243672.2319424944,858.4514032097367
A2,baseline,1,mechanism,common_baseline,32.59683987516446,0.6114301324762317,1476643.4344843868,709.2024051392054
A2,baseline,1,training_template,common_baseline,30.13751304973934,0.6678510040605752,1476643.4344843868,518.9845661341748
