dataset,fold,trial_id,cue,leave_one_out_ERP_change_RMS,condition_ERP_RMS,PTP
B2,3,71,1,9.645085128033312,73.08590270300664,396.05858681585977
B2,3,72,1,33.52690376828202,73.08590270300664,442.9987800187149
B2,3,73,1,10.106528292080037,73.08590270300664,314.30961818525367
B2,3,74,-1,27.226782548916393,95.42719861173771,365.0584472353562
B2,3,75,-1,13.620740712511967,95.42719861173771,290.0822177655596
B2,3,76,1,23.943968385135587,73.08590270300664,300.3892783977212
B2,3,77,1,10.196831500445802,73.08590270300664,143.93160715965934
B2,4,84,-1,9.00094536104791,42.64534556064766,242.9151737990553
B2,4,85,-1,68.42557395668324,42.64534556064766,990.4637153809795
B2,4,86,1,16.423567731080237,67.32985415248774,157.21916716986826
B2,4,87,-1,17.475601572166678,42.64534556064766,345.6489559050091
B2,4,88,1,56.57019389821583,67.32985415248774,936.1182727112284
B2,4,89,-1,67.83872491313976,42.64534556064766,992.3299158111646
B2,4,90,1,8.111535492794173,67.32985415248774,201.01332422758992
B2,4,91,-1,69.55865485365659,42.64534556064766,934.4109426867329
B2,4,92,-1,11.222758632234916,42.64534556064766,279.45823367521047
B2,4,93,1,5.642443494552444,67.32985415248774,213.75336757015896
B2,4,94,-1,28.99024242881056,42.64534556064766,486.9149925291074
B2,4,95,1,9.64889391310366,67.32985415248774,266.91546441496166
B2,4,96,1,64.46383120211259,67.32985415248774,606.9733568132855
B2,4,97,-1,13.920648408391896,42.64534556064766,318.87844868288664
B2,4,98,-1,5.741416616840357,42.64534556064766,220.34116808624483
B2,4,99,1,22.91701064846418,67.32985415248774,493.42096374894237
